state_abbr,state_fips,place_fips,stpl_fips,city_name
CA,06,60620,0660620,Richmond
WA,53,22640,5322640,Everett
FL,12,58050,1258050,Pompano Beach
CT,09,80000,0980000,Waterbury
FL,12,76600,1276600,West Palm Beach
OK,40,09050,4009050,Broken Arrow
CO,08,07850,0807850,Boulder
CA,06,84200,0684200,West Covina
CA,06,14218,0614218,Clovis
CA,06,17918,0617918,Daly City
FL,12,38250,1238250,Lakeland
CA,06,52526,0652526,Norwalk
CA,06,69196,0669196,Santa Maria
GA,13,68516,1368516,Sandy Springs
WI,55,31000,5531000,Green Bay
TX,48,42508,4842508,Lewisville
OR,41,34100,4134100,Hillsboro
TX,48,79000,4879000,Wichita Falls
CA,06,08954,0608954,Burbank
CA,06,68252,0668252,San Mateo
CO,08,32155,0832155,Greeley
TX,48,74144,4874144,Tyler
CA,06,21712,0621712,El Cajon
FL,12,16475,1216475,Davie
CA,06,60466,0660466,Rialto
IN,18,71000,1871000,South Bend
NM,35,39380,3539380,Las Cruces
WA,53,57745,5357745,Renton
TX,48,41980,4841980,League City
CA,06,82996,0682996,Vista
WI,55,39225,5539225,Kenosha
TX,48,64472,4864472,San Angelo
VA,51,68000,5168000,Roanoke
TX,48,01924,4801924,Allen
AL,01,77256,0177256,Tuscaloosa
NV,32,68400,3268400,Sparks
PA,42,24000,4224000,Erie
CA,06,81554,0681554,Vacaville
NY,36,01000,3601000,Albany
CA,06,15044,0615044,Compton
MI,26,29000,2629000,Flint
OR,41,05350,4105350,Beaverton
ID,16,52120,1652120,Meridian
MO,29,41348,2941348,Lee's Summit
CA,06,48256,0648256,Mission Viejo
WA,53,23515,5323515,Federal Way
WA,53,67167,5367167,Spokane Valley
FL,12,07300,1207300,Boca Raton
AZ,04,85540,0485540,Yuma
UT,49,57300,4957300,Orem
MA,25,09000,2509000,Brockton
UT,49,67440,4967440,Sandy
VA,51,64000,5164000,Portsmouth
MA,25,45000,2545000,New Bedford
CA,06,73080,0673080,South Gate
MI,26,21000,2621000,Dearborn
NM,35,63460,3563460,Rio Rancho
CA,06,68196,0668196,San Marcos
OK,40,41850,4041850,Lawton
MI,26,49000,2649000,Livonia
GA,13,67284,1367284,Roswell
MA,25,55745,2555745,Quincy
TX,48,22660,4822660,Edinburg
MA,25,37490,2537490,Lynn
CA,06,33434,0633434,Hesperia
WA,53,80010,5380010,Yakima
CO,08,45970,0845970,Longmont
FL,12,69700,1269700,Sunrise
FL,12,57425,1257425,Plantation
CA,06,11530,0611530,Carson
CA,06,70000,0670000,Santa Monica
CA,06,13014,0613014,Chico
FL,12,45025,1245025,Miami Beach
ID,16,56260,1656260,Nampa
CA,06,84550,0684550,Westminster
CA,06,59920,0659920,Redding
CA,06,69070,0669070,Santa Barbara
OK,40,23200,4023200,Edmond
OR,41,05800,4105800,Bend
IN,18,10342,1810342,Carmel
CA,06,68084,0668084,San Leandro
MA,25,23000,2523000,Fall River
VA,51,76432,5176432,Suffolk
CA,06,41992,0641992,Livermore
CA,06,80238,0680238,Tracy
IN,18,23278,1823278,Fishers
MA,25,45560,2545560,Newton
NH,33,50260,3350260,Nashua
CA,06,46842,0646842,Menifee
CT,09,55990,0955990,Norwalk
CA,06,36448,0636448,Indio
