FIPS_STATE,FIPS_PLACE,FIPS_STATE_PLACE,CITY_NAME,ST_NAME,NYU_500_LARGEST,YEAR,POP_TOTAL,PER_AGE_15TO44,PER_AGE_18PLUS,PER_AGE_65PLUS,POP_MALE,POP_FEMALE,POP_WHITE,POP_BLACK,POP_ASIAN,POP_AIAN,POP_NHOPI,POP_NONHISPANIC,POP_HISPANIC
6,44574,644574,Lynwood city, California,1,2015,72005,48.1,71.4,7.8,35634,36371,47749,4915,865,375,0,8628,63377
6,45484,645484,Manteca city, California,1,2015,75450,40.7,71.9,10.9,37053,38397,50999,4106,5682,240,820,43898,31552
6,46842,646842,Menifee city, California,1,2015,87163,36.3,72.6,16.7,42866,44297,58026,4919,4592,742,289,57373,29790
6,46898,646898,Merced city, California,1,2015,82440,42.7,69,10.8,40048,42392,38789,4699,8554,855,20,38756,43684
6,47766,647766,Milpitas city, California,1,2015,77617,43.2,77.8,12.7,40098,37519,15425,2128,51283,262,349,65802,11815
6,48256,648256,Mission Viejo city, California,1,2015,97163,35,81.6,18.9,48849,48314,76857,1314,10335,83,181,78250,18913
6,48354,648354,Modesto city, California,1,2015,211257,40.6,74.1,13.4,104852,106405,159183,7428,15852,1721,2287,126116,85141
6,49270,649270,Moreno Valley city, California,1,2015,204181,47.3,71.7,8.4,98584,105597,86265,33400,9943,722,1165,83571,120610
6,49670,649670,Mountain View city, California,1,2015,80438,49.6,77.7,8.4,42493,37945,47871,1258,20805,167,135,64041,16397
6,50076,650076,Murrieta city, California,1,2015,109816,41.1,72.3,11.6,49363,60453,70564,7457,12728,443,591,76872,32944
6,50258,650258,Napa city, California,1,2015,80429,39.7,76.1,14.5,39828,40601,55882,382,2972,1066,106,47200,33229
6,51182,651182,Newport Beach city, California,1,2015,87131,32.8,81.9,23,43161,43970,72442,168,8056,286,109,79004,8127
6,52526,652526,Norwalk city, California,1,2015,107145,43.3,77,9.9,53125,54020,45320,4740,15214,724,220,31125,76020
6,53000,653000,Oakland city, California,1,2015,419278,46.9,79.7,11.7,203827,215451,154160,104481,64168,3540,1756,305224,114054
6,53322,653322,Oceanside city, California,1,2015,175714,41.1,78.9,15.4,87482,88232,130609,9381,14946,1108,1658,113614,62100
6,53896,653896,Ontario city, California,1,2015,171200,47.1,70.9,7.4,85059,86141,66111,11077,11853,1005,191,52908,118292
6,53980,653980,Orange city, California,1,2015,140995,44.8,79.4,12,67337,73658,97023,2415,19383,351,127,94740,46255
6,54652,654652,Oxnard city, California,1,2015,207252,45,71.2,9.4,101906,105346,159325,5249,15595,4414,1022,52341,154911
6,55156,655156,Palmdale city, California,1,2015,158350,39.8,70.5,9.6,76361,81989,68892,23906,9034,1670,598,70898,87452
6,55282,655282,Palo Alto city, California,0,2015,66848,38.5,76.3,17.6,31451,35397,40346,818,21074,36,0,63352,3496
6,56000,656000,Pasadena city, California,1,2015,142246,43,80.5,15.4,67712,74534,72764,14121,21205,395,148,89529,52717
6,56700,656700,Perris city, California,1,2015,74959,46.8,66.1,5.4,41623,33336,22487,8390,2799,406,0,20561,54398
6,57456,657456,Pittsburg city, California,0,2015,69427,43.8,75.6,8.9,33309,36118,20444,13169,11579,386,694,40822,28605
6,57792,657792,Pleasanton city, California,1,2015,79519,34.2,73.2,13,36662,42857,46094,1347,24950,232,890,71570,7949
6,58072,658072,Pomona city, California,1,2015,153252,46.5,74.7,10.4,74945,78307,88854,9971,14478,1532,365,44465,108787
6,59444,659444,Rancho Cordova city, California,0,2015,71026,43.6,75.7,11.5,34844,36182,42851,6063,10663,773,961,57056,13970
6,59451,659451,Rancho Cucamonga city, California,1,2015,175232,42.7,74.9,9.5,88127,87105,105040,21610,21614,1060,2321,109409,65823
6,59920,659920,Redding city, California,1,2015,91579,37.6,79,19.8,42530,49049,77152,1536,4608,2691,0,82436,9143
6,59962,659962,Redlands city, California,1,2015,71028,40.7,77,14.8,33993,37035,51625,5686,5231,480,294,51330,19698
