Fips_State,Fips_Place,Fips_State_Place,City_Name,St_Name,NYU_500_Largest,Year,Pop_Total,Per_15to44_years(%),Per_18_years_and_over(%),Per_65_years_and_over(%),Pop_Male,Pop_Female,Pop_White,Pop_Black,Pop_Asian,Pop_AIAN,Pop_NHOPI,Pop_Nonhispanic,Pop_Hispanic
06,62000,0662000,Riverside city,California,1,1990,226505,51.43,71.01,8.95,112614,113891,160344,16740,10920,1910,901,167679,58826
06,62938,0662938,Roseville city,California,1,1990,44685,47.92,72.72,11.27,21576,23109,40899,407,1427,430,56,39860,4825
06,64000,0664000,Sacramento city,California,1,1990,369365,49.03,73.83,12.08,178737,190628,221963,56521,52973,4561,2453,309358,60007
06,64224,0664224,Salinas city,California,1,1990,108777,50.17,67.93,8.32,54424,54353,59343,3276,8387,1031,407,53693,55084
06,65000,0665000,San Bernardino city,California,1,1990,164164,48.54,68.41,9.99,81252,82912,99550,26281,5891,1596,671,107409,56755
06,65042,0665042,San Buenaventura (Ventura) city,California,1,1990,92575,49.72,76.49,12.47,45753,46822,79709,1551,2336,977,172,76324,16251
06,66000,0666000,San Diego city,California,1,1990,1110549,54.60,76.94,10.22,566464,544085,745406,104261,124793,6800,6152,881030,229519
06,67000,0667000,San Francisco city,California,1,1990,723959,52.88,83.86,14.56,362497,361462,387783,79039,207155,3456,3721,623242,100717
06,68000,0668000,San Jose city,California,1,1990,782248,53.17,73.29,7.20,397709,384539,491280,36790,148793,5416,4022,573860,208388
06,68084,0668084,San Leandro city,California,1,1990,68223,43.94,80.95,19.27,32450,35773,50582,3923,8774,508,618,57860,10363
06,68196,0668196,San Marcos city,California,1,1990,38974,48.39,72.89,14.66,19528,19446,33014,567,1034,297,108,28272,10702
06,68252,0668252,San Mateo city,California,1,1990,85486,47.86,81.19,16.26,41467,44019,67170,3060,9902,330,1475,72251,13235
06,68378,0668378,San Ramon city,California,1,1990,35303,54.55,73.22,4.31,17556,17747,30750,711,3100,123,75,33239,2064
06,69000,0669000,Santa Ana city,California,1,1990,293742,56.77,69.53,5.62,156394,137348,199727,7685,27205,1536,1380,102359,191383
06,69070,0669070,Santa Barbara city,California,1,1990,85571,52.37,81.71,16.21,41912,43659,66529,1920,1921,758,76,58651,26920
06,69084,0669084,Santa Clara city,California,1,1990,93613,56.03,81.22,9.98,47545,46068,68984,2404,16984,473,432,79353,14260
06,69088,0669088,Santa Clarita city,California,1,1990,110642,53.25,72.02,6.25,55282,55360,96555,1695,4471,624,136,95871,14771
06,69196,0669196,Santa Maria city,California,1,1990,61284,46.91,70.14,12.04,30397,30887,37722,1350,3629,582,87,33270,28014
06,70000,0670000,Santa Monica city,California,1,1990,86905,52.18,86.22,16.51,41007,45898,71961,3920,5421,384,129,74695,12210
06,70098,0670098,Santa Rosa city,California,1,1990,113313,46.88,76.16,16.30,54142,59171,101270,2031,3556,1382,255,102586,10727
06,72016,0672016,Simi Valley city,California,1,1990,100217,52.56,71.81,5.26,50368,49849,88345,1527,5269,615,205,87510,12707
06,73080,0673080,South Gate city,California,1,1990,86284,51.24,65.46,7.25,43042,43242,35936,1437,1205,382,189,14557,71727
06,75000,0675000,Stockton city,California,1,1990,210943,46.68,68.24,10.48,104522,106421,121372,20321,47364,2061,723,158290,52653
06,77000,0677000,Sunnyvale city,California,1,1990,117229,53.46,80.84,10.40,59323,57906,83972,4022,21966,608,689,101785,15444
06,78120,0678120,Temecula city,California,1,1990,27099,51.14,67.15,6.31,13786,13313,24583,414,710,170,48,23160,3939
06,78582,0678582,Thousand Oaks city,California,1,1990,104352,48.58,75.33,9.03,51759,52593,94332,1270,4823,414,167,94333,10019
06,80000,0680000,Torrance city,California,1,1990,133107,48.65,79.59,11.95,65374,67733,97144,1933,28603,539,494,119709,13398
06,80238,0680238,Tracy city,California,1,1990,33558,50.51,68.70,8.07,16835,16723,28944,855,1420,347,130,25413,8145
06,80812,0680812,Turlock city,California,1,1990,42198,47.41,70.68,12.49,20248,21950,34820,500,1770,393,75,33349,8849
06,80854,0680854,Tustin city,California,1,1990,50689,56.43,76.05,7.51,25535,25154,37127,2895,5061,274,199,40181,10508
06,81204,0681204,Union City city,California,1,1990,53762,51.39,70.35,7.14,26616,27146,23613,4612,17343,318,635,40278,13484
06,81344,0681344,Upland city,California,1,1990,63374,48.86,73.27,9.20,30953,32421,49972,3380,4365,286,92,52259,11115
06,81554,0681554,Vacaville city,California,1,1990,71479,55.11,73.29,6.83,39478,32001,56351,6370,2346,707,378,60113,11366
06,81666,0681666,Vallejo city,California,1,1990,109199,49.07,72.01,10.85,54444,54755,55100,23098,23605,810,1458,97422,11777
06,82590,0682590,Victorville city,California,1,1990,40674,46.41,68.99,11.57,20158,20516,29724,3899,1382,442,109,31321,9353
