fips_state,fips_place,fips_state_place,city_name,st_name,NYU_500_Largest,Year,census_population,15 to 44 years,18 years and over,65 years and over,pop_male,pop_female,pop_white,pop_black,pop_asian,pop_AIAN,pop_NHOPI,pop_nonhispanic,pop_hispanic
06,22020,0622020,Elk Grove CDP,California,1,1990,17483,48.44,67.47,7.46,8543,8940,15798,369,697,159,38,15803,1680
06,22230,0622230,El Monte city,California,1,1990,106209,52.23,65.97,6.43,54564,51645,66096,1047,12336,600,153,29218,76991
06,22804,0622804,Escondido city,California,1,1990,108635,49.05,73.47,12.959999999999999,53362,55273,92504,1585,3803,902,237,83255,25380
06,23182,0623182,Fairfield city,California,1,1990,77211,51.77,69.81,6.36,38849,38362,52636,10656,7371,786,891,67003,10208
06,24477,0624477,Florence-Graham CDP,California,0,1990,57147,50.39,60.81999999999999,5.52,28857,28290,11676,13722,164,172,49,13050,44097
06,24638,0624638,Folsom city,California,1,1990,29802,57.720000000000006,78.86999999999999,8.690000000000001,17882,11920,25026,2949,989,195,42,26557,3245
06,24680,0624680,Fontana city,California,1,1990,87535,51.470000000000006,63.85999999999999,5.5,43227,44308,59304,7616,3642,800,321,55938,31597
06,26000,0626000,Fremont city,California,1,1990,173339,53.14,74.22,6.660000000000001,86808,86531,122376,6562,32707,1218,964,150248,23091
06,27000,0627000,Fresno city,California,1,1990,354202,47.92,68.26,10.11,172241,181961,209604,29409,43884,3729,474,248415,105787
06,28000,0628000,Fullerton city,California,1,1990,114144,51.89,77.4,10.22,57235,56909,85212,2479,13596,528,304,89840,24304
06,29000,0629000,Garden Grove city,California,1,1990,143050,51.25999999999999,73.71,8.75,72521,70529,96304,2144,28248,872,1089,109471,33579
06,30000,0630000,Glendale city,California,1,1990,180038,49.07,78.3,13.320000000000002,86606,93432,133270,2334,25222,629,231,142307,37731
06,32548,0632548,Hawthorne city,California,1,1990,71349,55.720000000000006,74.72,7.290000000000001,35318,36031,30166,20212,7265,326,554,49130,22219
